"","continent","location","lat","long","total_cases","total_deaths","case_fatality_rate","total_tests","positive_rate","hospital_beds_per_thousand","num_physicians_per_thousand","handwashing_facilities","gdp_per_capita","current_health_exp","govt_health_exp","population","population_density","pop_young","pop_working","pop_old","extreme_poverty","human_development_index","annual_intl_arrivals_thousands","total_cases_log","total_deaths_log","total_tests_log","gdp_per_capita_log","population_log","population_density_log","annual_intl_arrivals_thou_log","deaths_per_test","deaths_per_population"
"22","Asia","Bhutan",27.5142,90.4336,871,1,0.00114810562571757,584052,0,1.7,4.24,79.807,8708.597,3.187,7.9006,771612,21.188,25.34019489,68.56683074,6.092974373,1.5,0.654,274,6.7696419768525,0,13.2777452989423,9.07206597765261,13.5562371119923,3.05343498368228,5.61312810638807,1.71217631306801e-06,1.29598813911655e-06
"23","South America","Bolivia",-16.2902,-63.5887,269302,12165,0.0451723344052402,864692,0.119,1.1,13.05,25.383,6885.829,6.2298,11.7768,11673029,10.202,30.62526166,62.0361067,7.338631646,7.1,0.718,1181,12.5035887054338,9.40631825521762,13.6701286531421,8.83722081059564,16.2727915249973,2.32258377950073,7.07411681619736,0.0140685932100679,0.00104214595885952
"24","Europe","Bosnia and Herzegovina",43.9159,17.6791,162032,6220,0.0383874790164906,764199,0.33,3.5,21.62,97.164,11713.895,8.9317,15.4748,3280815,68.496,14.69375947,68.10508937,17.20115117,0.2,0.78,1053,11.9955491255721,8.73552518573323,13.5465835054361,9.36853102297629,15.0036024251051,4.22677534940259,6.95939851213398,0.00813924121858312,0.00189587038586449
"25","Africa","Botswana",-22.3285,24.6849,38466,506,0.0131544740810066,1218744,0.043,1.8,5.27,44.6,15807.374,6.1346,14.3155,2351625,4.044,33.76498732,61.86911734,4.365895341,2,0.735,1623,10.5575300132153,6.22653666928747,14.0133313782052,9.66823181900111,14.6706171365134,1.39723430115822,7.39203156751459,0.000415181531150102,0.00021517036092064
"26","South America","Brazil",-14.235,-51.9253,12490362,310550,0.0248631704989815,4395068,0.218,2.2,21.64,67.779,14103.452,9.4675,10.2553,212559409,25.04,21.00919373,69.73919823,9.251608036,3.4,0.765,6621,16.3404678648683,12.6461001979874,15.2959935611091,9.55417486909711,19.1747320790205,3.2204745462319,8.79800169492485,0.0706587474869558,0.00146100330943242
"27","Asia","Brunei",4.5353,114.7277,206,3,0.0145631067961165,14778889,0.015,2.7,25.28,94.576,71809.251,4.7481,8.4938,437483,81.347,21.56983829,75.66632272,2.518809729,0.2,0.838,12045,5.32787616878958,1.09861228866811,16.5087103015115,11.1817685907478,12.988793126882,4.39872395529605,9.39640491504897,2.02992254695194e-07,6.8574093164763e-06
"28","Europe","Bulgaria",42.7339,25.4858,327770,12650,0.0385941361320438,2023997,0.232,7.454,40.33,86.979,18563.307,8.0956,11.986,6948445,65.18,14.68537892,64.06165381,21.25296727,1.5,0.816,9273,12.7000674218847,9.44541249415567,14.520584827175,9.82894216934753,15.7540284515,4.17715267340942,9.13486223080023,0.00625000926384772,0.00182055121685499
"29","Africa","Burkina Faso",12.2383,-1.5616,12673,145,0.011441647597254,423635,0.078,0.4,0.85,11.877,1703.102,6.9151,9.9915,20903278,70.151,44.67782155,52.91489091,2.407287537,43.7,0.452,144,9.44722902508206,4.97673374242057,12.9566275144142,7.44020657317327,16.8554165467419,4.25065006161436,4.969813299576,0.000342275779857661,6.93671107469364e-06
"30","Africa","Burundi",-3.3731,29.9189,2657,6,0.00225818592397441,267671,0.078,0.8,1,6.144,702.225,7.5176,8.5214,11890781,423.062,45.40064767,52.28725702,2.312095315,71.7,0.433,299,7.88495294575981,1.79175946922805,12.4975138934199,6.55425386549306,16.2912739519597,6.04751874040966,5.70044357339069,2.24155773318738e-05,5.04592591521112e-07
"31","Asia","Cambodia",11.55,104.9167,2147,8,0.00372612948299953,2145944,0.186,0.8,1.93,66.229,3645.07,5.9188,6.0787,16718971,90.672,31.09919594,64.18303487,4.717769196,15,0.594,6201,7.67182679787878,2.07944154167984,14.5790901067717,8.20113084864793,16.6320546206648,4.50724859942726,8.73246584834988,3.72796307825367e-06,4.78498347775111e-07
