continent,location,lat,long,total_cases,total_deaths,case_fatality_rate,total_tests,positive_rate,hospital_beds_per_thousand,num_physicians_per_thousand,handwashing_facilities,gdp_per_capita,current_health_exp_%gdp,govt_health_exp_%totalgovtexp,population,population_density,0_to_14(%),15_to_64(%),65_and_above(%),extreme_poverty,human_development_index,annual_intl_arrivals_thousands,total_cases_log,total_deaths_log,total_tests_log,gdp_per_capita_log,population_log,population_density_log,annual_intl_arrivals_thou_log
Asia,Mongolia,46.862500000000004,103.8467,6693,5,7.470491558344539e-4,2145944,0.017,7,28.59,71.17999999999999,11840.846,4.0023,8.152500000000002,3278292,1.98,30.79828114,65.01238541,4.1893334520000005,0.5,0.737,529,8.808817483100642,1.6094379124341003,14.579090106771721,9.379310358588077,15.002833113025169,0.6830968447064438,6.270988431858299
Europe,Montenegro,42.708678000000006,19.374390000000002,89732,1241,0.013830071769268489,2023997,0.28300000000000003,3.8609999999999998,27.56,86.979,16409.288000000004,8.095600000000001,11.986,628062,46.28,18.150216490000002,66.46061145000002,15.38917207,1,0.8290000000000001,2077,11.404582729133196,7.123672785204607,14.520584827174956,9.705602794964902,13.350394166691883,3.834709902325476,7.638679823876112
Africa,Morocco,31.7917,-7.0926,494358,8798,0.0177968193090837,5411334,0.043000000000000003,1.1,7.31,24.097,7485.013,5.2452000000000005,7.489200000000001,36910558,80.08,26.96951716,65.73002807,7.300454770999999,1,0.6859999999999999,12289,13.111015230060728,9.082279701908664,15.504006200833366,8.920658033659167,17.424008192746147,4.383026135006965,9.416459832284596
Africa,Mozambique,-18.665695,35.529562000000006,67011,762,0.011371267403859069,471022,0.114,0.7,0.8400000000000001,12.226999999999999,1136.1029999999998,4.941200000000001,4.664199999999999,31255435,37.72800000000001,44.36800049,52.75355334000001,2.878446168999999,62.9,0.456,2743,11.112612064001667,6.635946555686647,13.06266008103723,7.0353592641849945,17.257703839024355,3.6304025243549605,7.916807490937603
Asia,Myanmar,21.9162,95.956,142377,3206,0.022517681928963244,2251884,0.14700000000000002,0.9,6.7700000000000005,79.287,5591.597,4.6591,3.4939,54409794,81.721,25.914401260000002,68.07389414,6.0117046,6.4,0.583,3551,11.866233748060829,8.072779333169498,14.62727775714595,8.629020214077766,17.812054732386205,4.4033110067810615,8.174984532943087
Africa,Namibia,-22.9576,18.490399999999998,43499,508,0.011678429389181361,338019,0.12400000000000001,2.1,4.18,44.6,9541.807999999999,8.551,10.6523,2540916,3.078,36.90591013000001,59.486035449999996,3.6080544229999996,13.4,0.646,1499,10.680493228306789,6.230481447578482,12.730857385903015,9.163438264305805,14.748035203904639,1.1242800354166875,7.312553498102598
Asia,Nepal,28.1667,84.25,276750,3027,0.010937669376693767,2251884,0.036,0.3,7.49,47.782000000000004,2442.804,5.5533,4.507899999999999,29136808,204.43,29.570375600000002,64.64705679000001,5.782567617,15,0.602,1173,12.530869850570884,8.01532730902172,14.62727775714595,7.800901838812843,17.187512812580376,5.320225618596917,7.067319848653476
Europe,Netherlands,52.132600000000004,5.291300000000001,1263882,16592,0.01312780781750195,7459247,0.07600000000000001,3.32,36.05,97.164,48472.545,10.1008,15.3043,17134873,508.54400000000004,15.883496240000003,64.51118404000002,19.60531972,0.2,0.9440000000000001,18780,14.049698494900763,9.716675930469309,15.824965028747526,10.788752834166171,16.656626301533002,6.231551740752079,9.840547752762253
Oceania,New Zealand,-40.9006,174.88600000000002,2482,26,0.010475423045930701,1875086,0.001,2.61,35.9,82.502,36085.843,9.1701,19.288099999999996,4822233,18.206,19.566604079999998,64.43943975,15.99395617,13.2,0.931,3686,7.8168199657645525,3.258096538021482,14.444165083001472,10.493655906741049,15.388747656754958,2.901751210083097,8.212297138229768
North America,Nicaragua,12.865416000000003,-85.20722900000003,6629,177,0.026700859858198825,802126,0.132,0.9,9.78,84.169,5321.4439999999995,8.6455,18.6187,6624554,51.667,29.854853000000006,64.68715463000001,5.457992374,3.2,0.6599999999999999,1256,8.79920924224139,5.176149732573829,13.595020981740523,8.579499974077049,15.706293606815699,3.9448192798432284,7.135687347028144
