"International inbound tourists (thousands)"
"Dimension: Mobility and communication"
"SDG 8.9 By 2030, devise and implement policies to promote sustainable tourism that creates jobs and promotes local culture and products"
"Definition: Arrivals of nonresident visitors (overnight visitors, tourists, sameday visitors and excursionists) at national borders."
"Source: World Bank (2020a). World Development Indicators database. Washington, DC. http://data.worldbank.org. Accessed 22 July 2020."
""
"39"," Slovakia","903","","1053","","1515","","1327","","1460","","1528","","1670","","1475","","1721","","2027","","2162","","2256","","2256","a"
"22"," Slovenia","732","","1090","","1555","","2049","","2236","","2377","","2502","","2675","","3022","","3397","","3991","","4425","","4425","a"
"151"," Solomon Islands","12","","5","","9","","21","","23","","24","","24","","20","","22","","23","","26","","28","","28","a"
"114"," South Africa","4488","","5872","","7369","","8074","","8339","","9188","","9537","","9549","","8904","","10044","","10285","","10472","","10472","a"
"25"," Spain","32971","","46403","","55914","","52677","","56177","","57464","","60675","","64939","","68175","","75315","","81869","","82773","","82773","a"
"72"," Sri Lanka","403","","400","","549","","654","","856","","1006","","1275","","1527","","1798","","2051","","2116","","2334","","2334","a"
"170"," Sudan","29","","38","","246","","495","","536","","575","","591","","684","","741","","800","","813","","836","","836","a"
"97"," Suriname","43","","57","","161","","205","","220","","240","","249","","252","","228","","256","","278","","..","","278","a"
"7"," Sweden","2310","","3828","","4883","","5183","","5222","","5146","","5229","","5660","","6482","","6782","","7054","","7440","","7440","a"
"2"," Switzerland","6946","","7821","","7229","","8628","","8534","","8566","","8967","","9158","","9305","","9205","","9889","","10362","","10362","a"
"151"," Syrian Arab Republic","815","","2100","","3571","","8546","","5070","","..","","..","","..","","..","","..","","..","","..","","5070","a"
"125"," Tajikistan","..","","8","","..","","160","","183","","244","","208","","213","","414","","344","","431","","1035","","1035","a"
"163"," Tanzania (United Republic of)","285","","459","","590","","754","","843","","1043","","1063","","1113","","1104","","1233","","1275","","1378","","1378","a"
"79"," Thailand","6952","","9579","","11567","","15936","","19230","","22354","","26547","","24810","","29923","","32530","","35592","","38178","","38178","a"
"141"," Timor-Leste","..","","..","","..","","40","","51","","58","","79","","60","","62","","66","","74","","75","","75","a"
"167"," Togo","53","","60","","81","","202","","300","","235","","327","","282","","273","","338","","514","","573","","573","a"
"104"," Tonga","29","","35","","42","","47","","46","","47","","48","","50","","54","","59","","63","","54","","54","a"
"67"," Trinidad and Tobago","260","","399","","463","","388","","431","","455","","434","","412","","440","","409","","395","","375","","375","a"
"95"," Tunisia","4120","","5058","","6378","","7828","","5746","","6999","","7352","","7163","","5359","","5724","","7052","","8299","","8299","a"
"54"," Turkey","7083","","9586","","20273","","31364","","34654","","35698","","37795","","39811","","39478","","30289","","37601","","45768","","45768","a"
"111"," Turkmenistan","218","","3","","12","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
".."," Tuvalu","1","","1","","1","","2","","1","","1","","1","","1","","2","","3","","3","","3","","3","a"
"159"," Uganda","160","","193","","468","","946","","1151","","1197","","1206","","1266","","1303","","1323","","1402","","..","","1402","a"
"74"," Ukraine","3716","","6431","","17631","","21203","","21415","","23013","","24671","","12712","","12428","","13333","","14230","","14104","","14104","a"
"31"," United Arab Emirates","2315","","3907","","7126","","..","","..","","..","","..","","16232","","17472","","18967","","20394","","21286","","21286","a"
"13"," United Kingdom","21719","","23212","","28039","","28295","","29306","","29282","","31063","","32613","","34436","","35814","","37651","","36316","","36316","a"
"17"," United States","43318","","51238","","49206","","60010","","63477","","66967","","71643","","75379","","77774","","76407","","77187","","79746","","79746","a"
"55"," Uruguay","2022","","1968","","1808","","2353","","2857","","2695","","2683","","2682","","2773","","3037","","3674","","3469","","3469","a"
"106"," Uzbekistan","92","","302","","242","","975","","1393","","1895","","1969","","1862","","1918","","2027","","2690","","5346","","5346","a"
"140"," Vanuatu","44","","58","","62","","97","","94","","108","","110","","109","","90","","95","","109","","116","","116","a"
"113"," Venezuela (Bolivarian Republic of)","700","","469","","706","","526","","595","","988","","986","","857","","789","","601","","427","","..","","427","a"
"117"," Viet Nam","1351","","2140","","3477","","5050","","6014","","6848","","7572","","7874","","7944","","10013","","12922","","15498","","15498","a"
"179"," Yemen","61","","73","","336","","1025","","829","","874","","990","","1018","","367","","..","","..","","..","","367","a"
"146"," Zambia","163","","457","","669","","815","","920","","859","","915","","947","","932","","956","","1083","","1072","","1072","a"
"150"," Zimbabwe","1416","","1967","","1559","","2239","","2423","","1794","","1833","","1880","","2057","","2168","","2423","","2580","","2580","a"
"169"," Afghanistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"145"," Equatorial Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"175"," Liberia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"185"," South Sudan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"","Human Development","","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Very high human development","387859","","511031","","577537","","644028","","676672","","712039","","748323","","791697","","822668","","848479","","898955","","..","","997128",""
" ","High human development","86004","","117776","","165006","","207387","","208736","","225508","","235011","","230953","","241422","","252852","","275830","","..","","302142",""
" ","Medium human development","12506","","19450","","28149","","43884","","48974","","51381","","55220","","62698","","65558","","66901","","74013","","..","","70759",""
" ","Low human development","3957","","6026","","10256","","20507","","17361","","12868","","13558","","13851","","15539","","16605","","13584","","..","","22869",""
" ","Developing Countries","139927","","195151","","285457","","381190","","390247","","417734","","436796","","447645","","460379","","477027","","513306","","..","","597206",""
"","Regions","","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Arab States","21236","","35647","","53771","","77919","","65300","","67101","","66851","","70140","","65718","","63283","","68133","","..","","109682",""
" ","East Asia and the Pacific","49118","","68143","","97151","","127791","","137115","","144355","","151867","","154639","","163397","","172357","","184194","","..","","195977",""
" ","Europe and Central Asia","11854","","19276","","46459","","67791","","75338","","87805","","96155","","85240","","85158","","84409","","98429","","..","","107057",""
" ","Latin America and the Caribbean","41451","","49634","","57730","","65774","","69552","","72108","","73612","","82127","","88612","","95738","","104733","","..","","107075",""
" ","South Asia","4312","","6086","","8147","","12014","","13568","","14375","","15199","","21855","","22247","","23812","","25111","","..","","31975",""
" ","Sub-Saharan Africa","11956","","16365","","22200","","29902","","29374","","31990","","33111","","33645","","35247","","37427","","32706","","..","","45441",""
" ","Least Developed Countries","3680","","5383","","9928","","17343","","19285","","21475","","24206","","26732","","28080","","26726","","26842","","..","","33222",""
" ","Small Island Developing States","17020","","21808","","27521","","37227","","34225","","36957","","39295","","41576","","42555","","45024","","48450","","..","","51408",""
" ","Organization for Economic Co-operation and Development","355303","","440327","","478205","","521680","","545475","","563725","","592155","","630273","","664177","","687370","","738749","","..","","791285",""
" ","World","490588","","654627","","781285","","916206","","952196","","1002228","","1052513","","1099605","","1145574","","1185236","","1262817","","..","","1393331",""
"a: Data refer to 2018 or the most recent year available."
""
